### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  3.41397524E-03  4.03703470E-03
1.71313847E-02  7.19279051E-04  2.64936476E-03
1.84003762E-02  5.43296337E-05  2.13820278E-03
1.96693677E-02  -3.41606140E-03  1.71751704E-03
2.09383591E-02  -3.23507190E-03  1.56060979E-03
2.22073506E-02  -2.41053104E-03  1.22819399E-03
2.34763421E-02  -2.08342820E-03  1.16974232E-03
2.47453335E-02  -1.74108893E-03  1.05976011E-03
2.60143250E-02  -2.32540816E-03  9.60483856E-04
2.72833164E-02  -1.57132000E-03  9.61983518E-04
2.85523079E-02  -1.73202902E-03  7.94774562E-04
2.98212994E-02  -1.22386962E-04  8.21590656E-04
3.10902908E-02  2.69647688E-04  7.56776775E-04
3.23592823E-02  7.92134553E-04  7.42154720E-04
3.36282738E-02  5.68285584E-04  7.02296733E-04
3.48972652E-02  -6.16274774E-05  6.33120595E-04
3.61662567E-02  -8.59975815E-04  6.37491175E-04
3.74352481E-02  1.14977360E-04  6.15236931E-04
3.87042396E-02  4.05482948E-04  6.06821442E-04
3.99732311E-02  4.48048115E-04  5.65978349E-04
4.12422225E-02  4.33176756E-04  5.45375224E-04
4.25112140E-02  4.85472381E-04  5.40331064E-04
4.37802055E-02  1.05731562E-03  5.18563378E-04
4.50491969E-02  5.37253916E-04  5.19912341E-04
4.63181884E-02  5.19327819E-04  4.91340645E-04
4.75871798E-02  2.20432878E-04  4.81095951E-04
4.88561713E-02  1.10281631E-03  4.98467009E-04
5.01251628E-02  1.71951950E-03  4.47891827E-04
5.13941542E-02  1.06666982E-03  4.42190794E-04
5.26631457E-02  5.04534692E-04  4.46031772E-04
5.39321372E-02  1.21605769E-03  4.37294570E-04
5.52011286E-02  1.31080300E-03  4.50999127E-04
5.64701201E-02  1.15876086E-03  4.02319158E-04
5.77391115E-02  2.04686262E-03  4.25136182E-04
5.90081030E-02  2.70302966E-03  4.13137925E-04
6.02770945E-02  1.56993978E-03  4.11173154E-04
6.15460859E-02  2.41976976E-03  4.03829559E-04
6.28150774E-02  2.59163603E-03  3.83751234E-04
6.40840689E-02  2.31649540E-03  4.02454170E-04
