### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  8.28417718E-01  8.97016283E-03
1.71313847E-02  4.11830425E-01  5.89775294E-03
1.84003762E-02  2.53156424E-01  4.72797453E-03
1.96693677E-02  1.84709713E-01  3.86662385E-03
2.09383591E-02  1.43415675E-01  3.48038902E-03
2.22073506E-02  1.19665556E-01  2.78367265E-03
2.34763421E-02  9.81028378E-02  2.60889670E-03
2.47453335E-02  8.88433307E-02  2.39854446E-03
2.60143250E-02  7.42326677E-02  2.09043920E-03
2.72833164E-02  7.07126707E-02  2.13986263E-03
2.85523079E-02  6.29423559E-02  1.74839888E-03
2.98212994E-02  6.10555187E-02  1.84172974E-03
3.10902908E-02  5.42929508E-02  1.66602375E-03
3.23592823E-02  5.53157143E-02  1.68164726E-03
3.36282738E-02  5.16760014E-02  1.58422941E-03
3.48972652E-02  4.72865999E-02  1.39866851E-03
3.61662567E-02  4.79059853E-02  1.45504007E-03
3.74352481E-02  4.36694957E-02  1.35871326E-03
3.87042396E-02  4.15318049E-02  1.33973500E-03
3.99732311E-02  4.39454354E-02  1.30729738E-03
4.12422225E-02  3.92666310E-02  1.21294544E-03
4.25112140E-02  3.93130742E-02  1.22672343E-03
4.37802055E-02  3.70213538E-02  1.15578424E-03
4.50491969E-02  3.74533758E-02  1.16193644E-03
4.63181884E-02  3.63445394E-02  1.10337802E-03
4.75871798E-02  3.30615118E-02  1.04600692E-03
4.88561713E-02  3.48637812E-02  1.12171832E-03
5.01251628E-02  3.62084024E-02  1.03284058E-03
5.13941542E-02  3.51753347E-02  1.01204787E-03
5.26631457E-02  3.23922187E-02  9.93507216E-04
5.39321372E-02  3.41487080E-02  1.00307271E-03
5.52011286E-02  3.34444158E-02  1.03309948E-03
5.64701201E-02  3.36953662E-02  9.29896662E-04
5.77391115E-02  3.21777947E-02  9.64056875E-04
5.90081030E-02  3.43449153E-02  9.71798552E-04
6.02770945E-02  3.20125856E-02  9.34295356E-04
6.15460859E-02  3.30845229E-02  9.32790339E-04
6.28150774E-02  3.08955908E-02  8.66265094E-04
6.40840689E-02  3.24756242E-02  9.41413047E-04
6.53530603E-02  3.20255533E-02  8.79130617E-04
6.66220518E-02  3.11403126E-02  8.83608591E-04
6.78910432E-02  3.13281976E-02  8.23851035E-04
6.91600347E-02  3.17083299E-02  8.52629659E-04
7.04290262E-02  2.80581359E-02  8.18516302E-04
7.16980176E-02  3.16747986E-02  8.28676682E-04
