### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  8.26189935E-01  8.96973442E-03
1.71313847E-02  4.09090847E-01  5.88574214E-03
1.84003762E-02  2.56736308E-01  4.76747332E-03
1.96693677E-02  1.82025149E-01  3.84341017E-03
2.09383591E-02  1.45228237E-01  3.50686489E-03
2.22073506E-02  1.12380832E-01  2.70111905E-03
2.34763421E-02  9.73145664E-02  2.60177068E-03
2.47453335E-02  8.67371559E-02  2.37302296E-03
2.60143250E-02  7.80850351E-02  2.14678189E-03
2.72833164E-02  6.98577911E-02  2.12965230E-03
2.85523079E-02  6.64658621E-02  1.79900485E-03
2.98212994E-02  6.00456670E-02  1.82797795E-03
3.10902908E-02  5.65869175E-02  1.70306605E-03
3.23592823E-02  5.44856973E-02  1.67115172E-03
3.36282738E-02  4.91322242E-02  1.54675264E-03
3.48972652E-02  4.53789234E-02  1.37134618E-03
3.61662567E-02  4.59057204E-02  1.42622064E-03
3.74352481E-02  4.39524390E-02  1.36421970E-03
3.87042396E-02  4.41503264E-02  1.38240028E-03
3.99732311E-02  4.14886028E-02  1.27191411E-03
4.12422225E-02  4.06048782E-02  1.23328541E-03
4.25112140E-02  3.79257798E-02  1.20474969E-03
4.37802055E-02  3.85604985E-02  1.17938011E-03
4.50491969E-02  3.78032811E-02  1.16886105E-03
4.63181884E-02  3.49613465E-02  1.08462491E-03
4.75871798E-02  3.64490375E-02  1.09946844E-03
4.88561713E-02  3.53151783E-02  1.13040605E-03
5.01251628E-02  3.47678289E-02  1.01470784E-03
5.13941542E-02  3.30862626E-02  9.82943457E-04
5.26631457E-02  3.28112692E-02  1.00211811E-03
5.39321372E-02  3.37947942E-02  1.00090588E-03
5.52011286E-02  3.32120471E-02  1.03282835E-03
5.64701201E-02  3.20143886E-02  9.07315465E-04
5.77391115E-02  3.13701220E-02  9.51042864E-04
5.90081030E-02  3.13337818E-02  9.29241127E-04
6.02770945E-02  3.06245517E-02  9.14672040E-04
6.15460859E-02  3.27493548E-02  9.29641712E-04
6.28150774E-02  3.01262867E-02  8.58622952E-04
6.40840689E-02  3.04620694E-02  9.12263698E-04
6.53530603E-02  3.04492842E-02  8.59486056E-04
6.66220518E-02  3.11962422E-02  8.87676608E-04
6.78910432E-02  2.93532144E-02  7.99471862E-04
6.91600347E-02  3.09198108E-02  8.44335009E-04
7.04290262E-02  3.20514031E-02  8.74267716E-04
7.16980176E-02  3.32941599E-02  8.49517062E-04
7.29670091E-02  3.26717906E-02  8.37186351E-04
7.42360006E-02  3.21264826E-02  8.27284413E-04
7.55049920E-02  3.08138654E-02  8.09761055E-04
7.67739835E-02  3.15245651E-02  8.33624741E-04
7.80429750E-02  3.27792913E-02  7.93371932E-04
7.93119664E-02  3.20681818E-02  8.08038225E-04
8.05809579E-02  3.32994126E-02  8.05971213E-04
8.18499493E-02  3.61555144E-02  8.44256312E-04
8.31189408E-02  3.64208817E-02  8.69631011E-04
8.43879323E-02  3.72390598E-02  8.20671325E-04
8.56569237E-02  3.92934866E-02  8.38883279E-04
8.69259152E-02  4.37716655E-02  8.88867828E-04
8.81949067E-02  4.88424152E-02  9.38930025E-04
8.94638981E-02  5.62888421E-02  1.02208287E-03
9.07328896E-02  7.14353919E-02  1.10503798E-03
