### DATA:
#
# 393
#      Q             I(Q)           Error     
1.58623933E-02  7.90716708E-01  8.78357235E-03
1.71313847E-02  3.99194539E-01  5.81975607E-03
1.84003762E-02  2.52356082E-01  4.73121414E-03
1.96693677E-02  1.80996209E-01  3.83624993E-03
2.09383591E-02  1.47716135E-01  3.54020623E-03
2.22073506E-02  1.18193157E-01  2.77277641E-03
2.34763421E-02  1.04263902E-01  2.69567897E-03
2.47453335E-02  9.21745002E-02  2.44864519E-03
2.60143250E-02  8.40910524E-02  2.22997484E-03
2.72833164E-02  7.36361742E-02  2.18860805E-03
2.85523079E-02  6.87903166E-02  1.83196750E-03
2.98212994E-02  6.47343323E-02  1.89984671E-03
3.10902908E-02  6.26026690E-02  1.79304427E-03
3.23592823E-02  5.51563799E-02  1.68303680E-03
3.36282738E-02  5.23012765E-02  1.59740448E-03
3.48972652E-02  4.90379371E-02  1.42754894E-03
3.61662567E-02  4.85673472E-02  1.46837009E-03
3.74352481E-02  4.47165705E-02  1.37736218E-03
3.87042396E-02  4.55804579E-02  1.40597404E-03
3.99732311E-02  4.47697639E-02  1.32191367E-03
4.12422225E-02  4.12091352E-02  1.24363322E-03
4.25112140E-02  4.02189009E-02  1.24118174E-03
4.37802055E-02  3.75511013E-02  1.16665114E-03
4.50491969E-02  3.66478413E-02  1.15087838E-03
4.63181884E-02  3.67789939E-02  1.11450744E-03
4.75871798E-02  3.47334966E-02  1.07444811E-03
4.88561713E-02  3.49500179E-02  1.12507842E-03
5.01251628E-02  3.29131633E-02  9.87885403E-04
5.13941542E-02  3.27135287E-02  9.77934105E-04
5.26631457E-02  3.23565267E-02  9.94290109E-04
5.39321372E-02  3.27957869E-02  9.86583997E-04
5.52011286E-02  3.14207114E-02  1.00522453E-03
5.64701201E-02  3.07410806E-02  8.90383730E-04
5.77391115E-02  2.95007881E-02  9.25045286E-04
5.90081030E-02  2.91678421E-02  8.98830418E-04
6.02770945E-02  2.91279610E-02  8.97134421E-04
6.15460859E-02  2.89882664E-02  8.77603539E-04
6.28150774E-02  2.91875266E-02  8.45025235E-04
6.40840689E-02  2.85556130E-02  8.85878166E-04
6.53530603E-02  2.73756180E-02  8.15789157E-04
